CensusPlaceCode,ST,STName,County,PlaceNameLong,PlaceNameShort,CensusPlaceName,,,,,,,,,
1903314025,IA,Iowa,Cerro Gordo,City of Clear Lake,Clear Lake,Clear Lake city,,,,,,,,,
1903322080,IA,Iowa,Cerro Gordo,City of Dougherty,Dougherty,Dougherty city,,,,,,,,,
1903350160,IA,Iowa,Cerro Gordo,City of Mason City,Mason City,Mason City city,,,,,,,,,
1903351420,IA,Iowa,Cerro Gordo,City of Meservey,Meservey,Meservey city,,,,,,,,,
1903356910,IA,Iowa,Cerro Gordo,City of Nora Springs - Cerro Gordo County Portion,Nora Springs [Cerro Gordo Co],Nora Springs city (pt.),,,,,,,,,
1903363885,IA,Iowa,Cerro Gordo,City of Plymouth,Plymouth,Plymouth city,,,,,,,,,
1903368025,IA,Iowa,Cerro Gordo,City of Rock Falls,Rock Falls,Rock Falls city,,,,,,,,,
1903368250,IA,Iowa,Cerro Gordo,City of Rockwell,Rockwell,Rockwell city,,,,,,,,,
1903376620,IA,Iowa,Cerro Gordo,City of Swaledale,Swaledale,Swaledale city,,,,,,,,,
1903377880,IA,Iowa,Cerro Gordo,City of Thornton,Thornton,Thornton city,,,,,,,,,
1903380580,IA,Iowa,Cerro Gordo,City of Ventura,Ventura,Ventura city,,,,,,,,,
1903399990,IA,Iowa,Cerro Gordo,Balance of Cerro Gordo County,Unincorporated Cerro Gordo County,Balance of Cerro Gordo County,,,,,,,,,
1903500000,IA,Iowa,Cherokee,Cherokee County,Cherokee County,Cherokee County,,,,,,,,,
1903503745,IA,Iowa,Cherokee,City of Aurelia,Aurelia,Aurelia city,,,,,,,,,
1903513080,IA,Iowa,Cherokee,City of Cherokee,Cherokee,Cherokee city,,,,,,,,,
1903514115,IA,Iowa,Cherokee,City of Cleghorn,Cleghorn,Cleghorn city,,,,,,,,,
1903543500,IA,Iowa,Cherokee,City of Larrabee,Larrabee,Larrabee city,,,,,,,,,
1903549350,IA,Iowa,Cherokee,City of Marcus,Marcus,Marcus city,,,,,,,,,
1903551150,IA,Iowa,Cherokee,City of Meriden,Meriden,Meriden city,,,,,,,,,
1903565280,IA,Iowa,Cherokee,City of Quimby,Quimby,Quimby city,,,,,,,,,
1903582380,IA,Iowa,Cherokee,City of Washta,Washta,Washta city,,,,,,,,,
1903599990,IA,Iowa,Cherokee,Balance of Cherokee County,Unincorporated Cherokee County,Balance of Cherokee County,,,,,,,,,
1903700000,IA,Iowa,Chickasaw,Chickasaw County,Chickasaw County,Chickasaw County,,,,,,,,,
1903701540,IA,Iowa,Chickasaw,City of Alta Vista,Alta Vista,Alta Vista city,,,,,,,,,
1903704780,IA,Iowa,Chickasaw,City of Bassett,Bassett,Bassett city,,,,,,,,,
1903728965,IA,Iowa,Chickasaw,City of Fredericksburg,Fredericksburg,Fredericksburg city,,,,,,,,,
1903738460,IA,Iowa,Chickasaw,City of Ionia,Ionia,Ionia city,,,,,,,,,
1903743815,IA,Iowa,Chickasaw,City of Lawler,Lawler,Lawler city,,,,,,,,,
1903755335,IA,Iowa,Chickasaw,City of Nashua - Chickasaw County Portion,Nashua [Chickasaw Co],Nashua city (pt.),,,,,,,,,
1903756100,IA,Iowa,Chickasaw,City of New Hampton,New Hampton,New Hampton city,,,,,,,,,
1903757495,IA,Iowa,Chickasaw,City of North Washington,North Washington,North Washington city,,,,,,,,,
1903765010,IA,Iowa,Chickasaw,City of Protivin - Chickasaw County Portion,Protivin [Chickasaw Co],Protivin city (pt.),,,,,,,,,
1903799990,IA,Iowa,Chickasaw,Balance of Chickasaw County,Unincorporated Chickasaw County,Balance of Chickasaw County,,,,,,,,,
1903900000,IA,Iowa,Clarke,Clarke County,Clarke County,Clarke County,,,,,,,,,
1903955065,IA,Iowa,Clarke,City of Murray,Murray,Murray city,,,,,,,,,
1903959835,IA,Iowa,Clarke,City of Osceola,Osceola,Osceola city,,,,,,,,,
1903986880,IA,Iowa,Clarke,City of Woodburn,Woodburn,Woodburn city,,,,,,,,,
1903999990,IA,Iowa,Clarke,Balance of Clarke County,Unincorporated Clarke County,Balance of Clarke County,,,,,,,,,
1904100000,IA,Iowa,Clay,Clay County,Clay County,Clay County,,,,,,,,,
1904121360,IA,Iowa,Clay,City of Dickens,Dickens,Dickens city,,,,,,,,,
1904126175,IA,Iowa,Clay,City of Everly,Everly,Everly city,,,,,,,,,
1904128650,IA,Iowa,Clay,City of Fostoria,Fostoria,Fostoria city,,,,,,,,,
1904130810,IA,Iowa,Clay,City of Gillett Grove,Gillett Grove,Gillett Grove city,,,,,,,,,
1904132970,IA,Iowa,Clay,City of Greenville,Greenville,Greenville city,,,,,,,,,
1904162625,IA,Iowa,Clay,City of Peterson,Peterson,Peterson city,,,,,,,,,
1904168925,IA,Iowa,Clay,City of Rossie,Rossie,Rossie city,,,,,,,,,
1904169105,IA,Iowa,Clay,City of Royal,Royal,Royal city,,,,,,,,,
1904174280,IA,Iowa,Clay,City of Spencer,Spencer,Spencer city,,,,,,,,,
1904183010,IA,Iowa,Clay,City of Webb,Webb,Webb city,,,,,,,,,
1904199990,IA,Iowa,Clay,Balance of Clay County,Unincorporated Clay County,Balance of Clay County,,,,,,,,,
1904300000,IA,Iowa,Clayton,Clayton County,Clayton County,Clayton County,,,,,,,,,
1904313845,IA,Iowa,Clayton,City of Clayton,Clayton,Clayton city,,,,,,,,,
1904324060,IA,Iowa,Clayton,City of Edgewood - Clayton County Portion,Edgewood [Clayton Co],Edgewood city (pt.),,,,,,,,,
1904324690,IA,Iowa,Clayton,City of Elkader,Elkader,Elkader city,,,,,,,,,
1904324825,IA,Iowa,Clayton,City of Elkport,Elkport,Elkport city,,,,,,,,,
1904326850,IA,Iowa,Clayton,City of Farmersburg,Farmersburg,Farmersburg city,,,,,,,,,
1904329685,IA,Iowa,Clayton,City of Garber,Garber,Garber city,,,,,,,,,
1904329910,IA,Iowa,Clayton,City of Garnavillo,Garnavillo,Garnavillo city,,,,,,,,,
1904333465,IA,Iowa,Clayton,City of Guttenberg,Guttenberg,Guttenberg city,,,,,,,,,
1904347055,IA,Iowa,Clayton,City of Luana,Luana,Luana city,,,,,,,,,
1904348000,IA,Iowa,Clayton,City of McGregor,McGregor,McGregor city,,,,,,,,,
1904349620,IA,Iowa,Clayton,City of Marquette,Marquette,Marquette city,,,,,,,,,
1904353310,IA,Iowa,Clayton,City of Monona,Monona,Monona city,,,,,,,,,
1904357135,IA,Iowa,Clayton,City of North Buena Vista,North Buena Vista,North Buena Vista city,,,,,,,,,
1904360015,IA,Iowa,Clayton,City of Osterdock,Osterdock,Osterdock city,,,,,,,,,
1904364290,IA,Iowa,Clayton,City of Postville - Clayton County Portion,Postville [Clayton Co],Postville city (pt.),,,,,,,,,
1904370140,IA,Iowa,Clayton,City of St. Olaf,St. Olaf,St. Olaf city,,,,,,,,,
1904375855,IA,Iowa,Clayton,City of Strawberry Point,Strawberry Point,Strawberry Point city,,,,,,,,,
1904381345,IA,Iowa,Clayton,City of Volga,Volga,Volga city,,,,,,,,,
1904399990,IA,Iowa,Clayton,Balance of Clayton County,Unincorporated Clayton County,Balance of Clayton County,,,,,,,,,
1904500000,IA,Iowa,Clinton,Clinton County,Clinton County,Clinton County,,,,,,,,,
1904502080,IA,Iowa,Clinton,City of Andover,Andover,Andover city,,,,,,,,,
1904509820,IA,Iowa,Clinton,City of Calamus,Calamus,Calamus city,,,,,,,,,
1904510135,IA,Iowa,Clinton,City of Camanche,Camanche,Camanche city,,,,,,,,,
1904512855,IA,Iowa,Clinton,City of Charlotte,Charlotte,Charlotte city,,,,,,,,,
1904514430,IA,Iowa,Clinton,City of Clinton,Clinton,Clinton city,,,,,,,,,
1904519720,IA,Iowa,Clinton,City of Delmar,Delmar,Delmar city,,,,,,,,,
1904521180,IA,Iowa,Clinton,City of DeWitt,DeWitt,DeWitt city,,,,,,,,,
1904531665,IA,Iowa,Clinton,City of Goose Lake,Goose Lake,Goose Lake city,,,,,,,,,
1904532025,IA,Iowa,Clinton,City of Grand Mound,Grand Mound,Grand Mound city,,,,,,,,,
1904546605,IA,Iowa,Clinton,City of Lost Nation,Lost Nation,Lost Nation city,,,,,,,,,
1904547010,IA,Iowa,Clinton,City of Low Moor,Low Moor,Low Moor city,,,,,,,,,
1904549215,IA,Iowa,Clinton,City of Maquoketa - Clinton County Portion,Maquoketa [Clinton Co],Maquoketa city (pt.),,,,,,,,,
1904578600,IA,Iowa,Clinton,City of Toronto,Toronto,Toronto city,,,,,,,,,
1904583370,IA,Iowa,Clinton,City of Welton,Welton,Welton city,,,,,,,,,
1904584945,IA,Iowa,Clinton,City of Wheatland,Wheatland,Wheatland city,,,,,,,,,
1904599990,IA,Iowa,Clinton,Balance of Clinton County,Unincorporated Clinton County,Balance of Clinton County,,,,,,,,,
